query,title,abstract,year,authors,venue,citations,url,relevance
"""International Yoga Day""","Choreographing Tolerance: Narendra Modi, Hindu Nationalism, and International Yoga Day","consider how Modi’s International Yoga Day has further entrenched the binary of the tolerant  Hindu supremacist state, I focus on the reaction to International Yoga Day specifically from",2020.0,['A Lakshmi'],Race and Yoga,34,https://escholarship.org/uc/item/4vz5j2cq,7
"""International Day of Yoga""",The transformative impact of the international day of yoga,One hundred ninety-two countries celebrating the first International Day of Yoga in 2015  show its popularity. Though there are no documented estimates for the number of people,2023.0,['NK Manjunath'],International Journal of Yoga,23,https://journals.lww.com/ijoy/fulltext/2023/16010/The_Transformative_Impact_of_the_International_Day.1.aspx,6
"""International Day of Yoga""",“YOGA FOR PROMOTION OF HEALTH”: CONFERENCE HELD ON INTERNATIONAL DAY OF YOGA-2015 AT KOLAR,"of yoga in physical, mental, social, and spiritual spheres, the 69 th United Nations General  Assembly endorsed the decision to celebrate 21 st June as the International Day of Yoga (IDY)",2015.0,"['A Bhattacharyya', 'NJ Patil']",Journal of Ayurveda …,10,https://pmc.ncbi.nlm.nih.gov/articles/PMC4719494/,7
"""International Day of Yoga""","The International Yoga Day, political discourse, and soft power game in India","The International Day of Yoga is being celebrated every year on 21 st June since 2015,   21 st June would be celebrated as the International Day of Yoga or World Yoga Day following",2020.0,['J Samal'],BLDE University Journal of Health Sciences,8,"https://journals.lww.com/blde/fulltext/2020/05020/the_international_yoga_day,_political_discourse,.2.aspx",13
"""International Day of Yoga""",The unintended consequences of International Day of Yoga,"International Day of Yoga is ""yoga diplomacy"" at work. It seeks to alter our perception of  yoga, India, and Hindutva. Even though, for most unsuspecting global yogis, this pledge is",2018.0,['P McCartney'],Daily O,7,https://www.academia.edu/download/57088000/mccartney_dailyO_The_unintended_consequences_of_International_Day_of_Yoga.pdf,6
"""International Yoga Day""",International yoga day 2016: A call for analysis of one month training program on the health benefits of PM's call for yoga,"On the eve of International Yoga Day on June 21, Indian Prime Minister Sh Narendra Modi  decided to perform yoga along with 35,000 citizens of Chandigarh at its Capitol complex. This",2016.0,"['A Anand', 'N Sayal']",Annals of Neurosciences,4,https://pmc.ncbi.nlm.nih.gov/articles/PMC5043221/,7
"""International Day of Yoga""",Impact assessment of International Day of Yoga: results from a cross-sectional survey,Background: Yoga is now a popular mind–body intervention to maintain health and wellness.  The advent of the International Day of Yoga (IDY) by the United Nations dedicating 21st,2024.0,"['RR Mohan', 'HS Vadiraja', 'G Moirangthem']",… Indian Journal of …,3,https://journals.lww.com/ijyn/fulltext/2024/01000/impact_assessment_of_international_day_of_yoga_.4.aspx?context=latestarticles,7
"""International Day of Yoga""","'Yoga for Lifestyle Diseases': Conference held on 2nd International Day of Yoga-2016 at Kolar, India",‘Yoga for Lifestyle Diseases’: Conference held on 2nd International Day of Yoga-2016 at   official International recognition by endorsing 21st June as the International Day of Yoga (IDY).,2016.0,"['NJ Patil', 'PN Venkatarathnamma']",Journal of Ayurveda …,3,https://pmc.ncbi.nlm.nih.gov/articles/PMC7272779/,7
"""International Yoga Day""","Indian PM's International Yoga Day 2016 advocacy: trends, advances and future perspectives",Narendra Modi to role model and advocate Yoga as national health initiative on 2nd  International Yoga Day in Chandigarh inspired the local administration to engage citizens and,2016.0,"['A Anand', 'S Telles']",Integrative Medicine International,2,https://go.gale.com/ps/i.do?id=GALE%7CA599442102&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=22967362&p=HRCA&sw=w,7
"""International Day of Yoga""",International Day of Yoga,"The information provided in this Yoga protocol is intended to create general awareness  among people and community to get harmony & peace through Yoga. The information,",2016.0,['CY Protocol'],"Ministry of AYUSH, Government of …",2,https://embassyofindiabangkok.gov.in/public/assets/pdf/Common-Yoga-Protocol-2016-in-Eng.pdf,6
