query,title,abstract,year,authors,venue,citations,url,relevance
"""International Day of Yoga""","The International Yoga Day, political discourse, and soft power game in India","The International Day of Yoga is being celebrated every year on 21 st June since 2015,   21 st June would be celebrated as the International Day of Yoga or World Yoga Day following",2020,['J Samal'],BLDE University Journal of Health Sciences,8,"https://journals.lww.com/blde/fulltext/2020/05020/the_international_yoga_day,_political_discourse,.2.aspx",13
"""International Day of Yoga""",International Yoga Day,"This declaration came after the call for the adoption of June 21 as International Day of Yoga  by  The rst International Day of Yoga was observed on June 21, 2015 by people across the",2016,['GS Pardeshi'],Journal of Krishna Institute of Medical Sciences …,1,"http://www.jkimsu.com/jkimsu-vol5no1/JKIMSU,%20Vol.%205,%20No.%201,%20Jan-March%202016%20Page%201-4.pdf",13
"""International Day of Yoga""","Yoga in India and the International Day of Yoga: An Anthropological Analysis of Lifestyle, Cultural Heritage and Global Co-existence","This research paper analyzes International Yoga Day from an anthropological perspective,  attempting to understand the global rise of yoga in the context of a healthy lifestyle, Indian",2025,"['SK Dwivedi', 'R Patel']",The Asian Man,0,https://indianjournals.com/article/am-19-1and2-026,13
"""International Day of Yoga""",First International Yoga Day was Observed on 21 June 2015,"Long before the UN declaration of June 21 as International Day of Yoga, formal and informal  groups of yoga teachers and enthusiasts had celebrated World Yoga Day on various other",NA,['B Ki-moon'],NA,0,http://gewashington.blogspot.ae/2015/?view=classic,13
"""International Yoga Day""",Politics beyond the yoga mat: Yoga fundamentalism and the 'vedic way of life',The normative idea of ‘yoga’ guides India’s soft power diplomacy on the global stage through  such events as World Yoga Day and International Yoga Day. Prime Minister Modi is fond of,2017,['P McCartney'],Global Ethnographic,35,https://www.researchgate.net/profile/Patrick-Mccartney-2/publication/335749840_Politics_beyond_the_Yoga_Mat_Yoga_Fundamentalism_and_the_'Vedic_Way_of_Life'/links/5d7907c04585151ee4aee0a9/Politics-beyond-the-Yoga-Mat-Yoga-Fundamentalism-and-the-Vedic-Way-of-Life.pdf,7
"""International Yoga Day""","Choreographing Tolerance: Narendra Modi, Hindu Nationalism, and International Yoga Day","consider how Modi’s International Yoga Day has further entrenched the binary of the tolerant  Hindu supremacist state, I focus on the reaction to International Yoga Day specifically from",2020,['A Lakshmi'],Race and Yoga,34,https://escholarship.org/uc/item/4vz5j2cq,7
"""Yoga Day"" India","“Development of Body, Mind, and Soul:” Paramahansa Yogananda's Marketing of Yoga-Based Religion","When leaders of the Indian branch of SRF met with Narendra Modi to thank him for his  efforts to establishing International Yoga Day, they celebrated their Master's global religious",2019,['DJ Neumann'],Religion and American Culture,11,https://www.cambridge.org/core/journals/religion-and-american-culture/article/development-of-body-mind-and-soul-paramahansa-yoganandas-marketing-of-yogabased-religion/87226DBD5D6B3927AEBC195D48569A5C,7
"""International Day of Yoga""",“YOGA FOR PROMOTION OF HEALTH”: CONFERENCE HELD ON INTERNATIONAL DAY OF YOGA-2015 AT KOLAR,"of yoga in physical, mental, social, and spiritual spheres, the 69 th United Nations General  Assembly endorsed the decision to celebrate 21 st June as the International Day of Yoga (IDY)",2015,"['A Bhattacharyya', 'NJ Patil']",Journal of Ayurveda …,10,https://pmc.ncbi.nlm.nih.gov/articles/PMC4719494/,7
"""International Day of Yoga"" soft power","The Indian political right, soft power, and the reimagining of Africa","In 2014, the United Nations General Assembly (UNGA) approved by consensus a resolution  establishing an International Day of Yoga (IDY) to be held each year on 21 June, as a result",2021,['M Venkatachalam'],India's development diplomacy and soft power in …,5,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/E9797DD7156B498681326BBE647A0185/stamped-9781800102835c3_p59-78_CBO.pdf/indian_political_right_soft_power_and_the_reimagining_of_africa.pdf,7
"""International Yoga Day""",International yoga day 2016: A call for analysis of one month training program on the health benefits of PM's call for yoga,"On the eve of International Yoga Day on June 21, Indian Prime Minister Sh Narendra Modi  decided to perform yoga along with 35,000 citizens of Chandigarh at its Capitol complex. This",2016,"['A Anand', 'N Sayal']",Annals of Neurosciences,4,https://pmc.ncbi.nlm.nih.gov/articles/PMC5043221/,7
